file,score,used_by,width,height,sharpness,contrast,brightness,fill,bytes_per_px,problems,products
livon-silky-potion-20-ml.jpg,1.5,1,1406,1406,1549.3,55.6,188.0,0.919,0.0439,heavily compressed,Livon Silky Potion 20 Ml
lunch-bag.jpg,1.5,1,850,1000,554.0,33.6,101.5,0.697,0.2478,flat,Lunch Bag
mani-mark-45.jpg,1.5,1,667,1000,442.7,85.4,195.7,0.361,0.0723,heavily compressed,Mani Mark-45
mani-mark-60.jpg,1.5,1,667,1000,442.7,85.4,195.7,0.361,0.0723,heavily compressed,Mani Mark 60
mani-mark-75.jpg,1.5,1,667,1000,442.7,85.4,195.7,0.361,0.0723,heavily compressed,Mani Mark-75
match-box.jpg,1.5,1,1363,935,528.2,63.3,179.4,0.389,0.0441,heavily compressed,Match Box
meera-powder-10x3-5.jpg,1.5,1,1100,1100,434.8,58.7,213.3,0.438,0.0491,heavily compressed,Meera Powder 10X3.5
milky-mist-curd-200g.jpg,1.5,1,1000,1000,1110.5,76.7,204.0,0.381,0.0728,heavily compressed,Milky Mist Curd 200G
milky-mist-paneer-1kg.jpg,1.5,1,1000,1000,704.4,74.3,207.2,0.323,0.0742,heavily compressed,Milky Mist Paneer 1Kg
mugi-spotless-blue.jpg,1.5,1,805,1000,766.9,88.4,198.7,0.299,0.0546,heavily compressed,Mugi Spotless Blue
munch-crunch-10rs.jpg,1.5,1,769,1000,261.6,29.9,112.6,0.292,0.1798,flat,Munch Crunch 10rs
mysore-sandal-150-g.jpg,1.5,1,1000,1000,552.2,65.7,209.8,0.377,0.075,heavily compressed,Mysore Sandal 150 G
nippat-24-30rs.jpg,1.5,1,1000,1000,567.9,66.6,214.2,0.304,0.071,heavily compressed,Nippat 24 30Rs
nippat-amman-50rs.jpg,1.5,1,1000,1000,550.5,66.6,214.2,0.304,0.0701,heavily compressed,Nippat Amman 50Rs
odo-fresh-rose-cube-100g.jpg,1.5,1,500,500,241.8,36.9,185.8,0.341,0.1045,flat,Odo Fresh Rose Cube 100G
para-250-ml-jar.png,1.5,1,1000,1000,201.9,119.6,101.0,0.649,0.0568,heavily compressed,Para 250 Ml Jar
pentonic-pen-10.jpg,1.5,1,1000,1000,446.2,99.1,183.7,0.364,0.0605,heavily compressed,Pentonic Pen 10
saffola-oats-200g.jpg,1.5,1,1000,1000,371.2,52.0,218.4,0.446,0.0631,heavily compressed,Saffola Oats 200G
santoor-hw-pump.jpg,1.5,1,1000,1000,459.7,41.6,215.9,0.303,0.0742,heavily compressed,Santoor Hw Pump
santoor-sandal75g.jpg,1.5,1,1000,1000,269.2,59.1,208.2,0.281,0.0731,heavily compressed,Santoor Sandal75G
